Index, Start Node, End Node, Force, Stress, Area, Max Stress
0,0,1,141374.55812800804,320577229.315211,0.000441,530000000
1,1,2,49991.588827551255,347163811.3024393,0.000144,530000000
2,3,4,141982.57229359171,321955946.2439721,0.000441,530000000
3,4,5,50482.29011305979,350571459.1184707,0.000144,530000000
4,0,3,0.0,0.0,9e-06,530000000
5,1,4,0.0,0.0,9e-06,530000000
6,2,5,-3.3542504711270293e-13,-3.7269449679189215e-08,9e-06,530000000
7,2,6,-16302.885990280754,-163028859.90280753,0.0001,530000000
8,6,7,-53381.75832983922,-237252259.24372986,0.000225,530000000
9,7,8,-53286.804768336784,-236830243.41483015,0.000225,530000000
10,8,9,-15965.730175884426,-159657301.75884426,0.0001,530000000
11,5,10,-15979.502720833281,-159795027.2083328,0.0001,530000000
12,10,11,-53272.52675469463,-236766785.57642058,0.000225,530000000
13,11,12,-53396.226907778306,-237316564.03457025,0.000225,530000000
14,12,13,-16289.304009628484,-162893040.09628484,0.0001,530000000
15,6,10,0.0,0.0,9e-06,530000000
16,7,11,-1.2197274440461925e-13,-1.3552527156068805e-08,9e-06,530000000
17,8,12,0.0,0.0,9e-06,530000000
18,9,13,6.098637220230962e-14,6.776263578034403e-09,9e-06,530000000
19,9,14,50468.791541461906,350477719.0379299,0.000144,530000000
20,14,15,141993.8992383446,321981630.9259515,0.000441,530000000
21,13,16,49978.26312732534,347071271.7175371,0.000144,530000000
22,16,17,141386.03289740317,320603249.20046073,0.000441,530000000
23,14,16,0.0,0.0,9e-06,530000000
24,15,17,0.0,0.0,9e-06,530000000
25,18,19,-157173.85930915928,-356403309.09106416,0.000441,530000000
26,19,20,-50895.63161757446,-353441886.23315597,0.000144,530000000
27,20,24,25913.616977445407,259136169.77445406,0.0001,530000000
28,21,22,-156364.83883981936,-354568795.555146,0.000441,530000000
29,22,23,-50239.395707586555,-348884692.41379553,0.000144,530000000
30,23,30,26413.3078197612,264133078.197612,0.0001,530000000
31,18,21,0.0,0.0,9e-06,530000000
32,19,22,-1.2197274440461925e-13,-1.3552527156068805e-08,9e-06,530000000
33,20,23,0.0,0.0,9e-06,530000000
34,24,30,-2.439454888092385e-13,-2.710505431213761e-08,9e-06,530000000
35,24,25,26057.86888681072,260578688.8681072,0.0001,530000000
36,25,26,81713.0531040623,252200781.18537745,0.000324,530000000
37,26,27,100641.039042814,310620490.87288266,0.000324,530000000
38,27,28,81913.8390272857,252820490.82495588,0.000324,530000000
39,28,29,26348.365607731586,263483656.07731587,0.0001,530000000
40,30,31,26346.776761841644,263467767.61841643,0.0001,530000000
41,31,32,81914.84920803263,252823608.66676736,0.000324,530000000
42,32,33,100640.14622991424,310617735.2775131,0.000324,530000000
43,33,34,81714.75931779937,252206047.27715856,0.000324,530000000
44,34,35,26057.672106901035,260576721.06901032,0.0001,530000000
45,25,31,0.0,0.0,9e-06,530000000
46,26,32,-2.439454888092385e-13,-2.710505431213761e-08,9e-06,530000000
47,27,33,0.0,0.0,9e-06,530000000
48,28,34,-2.744386749103933e-13,-3.049318610115481e-08,9e-06,530000000
49,29,35,0.0,0.0,9e-06,530000000
50,29,36,26414.900677815487,264149006.77815485,0.0001,530000000
51,36,37,-50239.38777825573,-348884637.3489981,0.000144,530000000
52,37,38,-156362.65533089163,-354563844.2877361,0.000441,530000000
53,35,39,25913.419700625873,259134197.00625873,0.0001,530000000
54,39,40,-50893.628268067514,-353427974.08380216,0.000144,530000000
55,40,41,-157173.41584164606,-356402303.495796,0.000441,530000000
56,36,39,1.2197274440461925e-13,1.3552527156068805e-08,9e-06,530000000
57,37,40,0.0,0.0,9e-06,530000000
58,38,41,0.0,0.0,9e-06,530000000
59,0,19,101396.79129762105,312953059.5605588,0.000324,530000000
60,1,20,73478.75530838258,326572245.8150337,0.000225,530000000
61,2,25,47480.728537915,329727281.5132986,0.000144,530000000
62,6,26,15816.520785888031,158165207.8588803,0.0001,530000000
63,7,27,-15898.46034479002,-158984603.4479002,0.0001,530000000
64,8,28,-47592.60455356879,-330504198.28867215,0.000144,530000000
65,9,36,-68934.07857357092,-306373682.5492041,0.000225,530000000
66,14,37,-95063.53484384979,-293405971.7402771,0.000324,530000000
67,3,22,101531.4990552623,313368824.2446367,0.000324,530000000
68,4,23,73613.13926389575,327169507.83953667,0.000225,530000000
69,5,31,47692.80320013522,331200022.2231612,0.000144,530000000
70,10,32,16021.321548212762,160213215.4821276,0.0001,530000000
71,11,33,-15685.985674614549,-156859856.7461455,0.0001,530000000
72,12,34,-47387.80379124424,-329081970.7725294,0.000144,530000000
73,13,39,-68807.76707062098,-305812298.0916488,0.000225,530000000
74,16,40,-94937.52690666767,-293017058.35391253,0.000324,530000000
75,1,19,-94936.12870216192,-293012742.9079071,0.000324,530000000
76,2,20,-68809.73960806789,-305821064.92474616,0.000225,530000000
77,6,25,-47386.18191962116,-329070707.7751469,0.000144,530000000
78,7,26,-15688.200756917448,-156882007.56917447,0.0001,530000000
79,8,27,16022.943419835261,160229434.1983526,0.0001,530000000
80,9,28,47690.58811783265,331184639.7071712,0.000144,530000000
81,14,36,73614.65462310072,327176242.7693366,0.000225,530000000
82,15,37,101529.41897145828,313362404.2328959,0.000324,530000000
